,title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Distributed by,Release date,Running time,Country,Language,Running time (int),Release date (datetime),imdb,metascore,rotten_tomatoes,plot,genre,awards,Screenplay by,Story by,Based on,Production company,Budget,Box office,Production companies,Countries,Languages,Narrated by,Portuguese,Japanese,Hepburn,French,Color process,Literally,Dutch,Spanish,Traditional,Simplified,Mandarin,Dialogue by,Cantonese,Italian,Danish,Original title,Arabic,Romanized,Russian,Hungarian,Polish,German,Hangul,Revised Romanization,McCune–Reischauer,Chinese,Romanian
183,Children of Nature,Friðrik Þór Friðriksson,"['Friðrik Þór Friðriksson', 'Einar Már Guðmundsson']","['Friðrik Þór Friðriksson', 'Vilhjálmur Ragnarsson']","['Gísli Halldórsson', 'Sigríður Hagalín', 'Baldvin Halldórsson', 'Björn Karlsson']",Ari Kristinsson,Skafti Gudmundsson,Hilmar Örn Hilmarsson,,"['August 1, 1991']",82 minutes,Iceland,,82,1991-08-01,,,,,,,,,,,,,,,"['Icelandic', 'English']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,The Elementary School,Jan Svěrák,,Anna Vásová,"['Václav Jakoubek', 'Jan Tříska']",František A. Brabec,Alois Fisárek,Jiří Svoboda,Lucernafilm - Alfa,['1 August 1991'],100 minutes,Czechoslovakia,Czech,100,1991-08-01,,,,,,,Zdeněk Svěrák,Zdeněk Svěrák,,Filmové Studio Barrandov,,13 million KČs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,The Ox,Sven Nykvist,,Jean Doumanian,"['Max von Sydow', 'Ewa Fröling', 'Stellan Skarsgård', 'Erland Josephson', 'Liv Ullmann']",Sven Nykvist,Lasse Summanen,,,['22 November 1992'],92 minutes,Sweden,Swedish,92,1992-11-22,6.8,N/A,,The aged inhabitants of an imaginary land are going through a tough test: they are forced to transform their earth into a golden kingdom by adding a magic fertilizer to their crops. As they...,"Animation, Fantasy",N/A,"['Sven Nykvist', 'Lasse Summanen']",,"['Oxen', 'by Siv Cedering']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Raise the Red Lantern,Zhang Yimou,Ni Zhen,"['Hou Hsiao-hsien', 'Chiu Fu-sheng', 'Zhang Wenze']","['Gong Li', 'Ma Jingwu', 'He Saifei', 'Cao Cuifen', 'Jin Shuyuan']",Zhao Fei,Du Yuan,Zhao Jiping,Orion Classics,['September 1991 ( Venice )'],125 minutes,,Mandarin,125,1991-09-01,,,,,,,,,"['Wives and Concubines', 'by', 'Su Tong']",,,$2.6 million (United States),,"['China', 'Hong Kong', 'Taiwan']",,,,,,,,Raise high the red lanterns,,,,,Dà Hóng Dēnglong Gāogāo Guà,,,,,,,,,,,,,,,,
187,Indochine,Régis Wargnier,"['Érik Orsenna', 'Louis Gardel', 'Catherine Cohen', 'Régis Wargnier']","['Eric Heumann', 'Jean Labadie']","['Catherine Deneuve', 'Vincent Pérez', 'Linh Dan Pham', 'Jean Yanne']",François Catonné,"['Agnès Schwab', 'Geneviève Winding']",Patrick Doyle,BAC Films,['15 April 1992'],159 minutes,France,,159,1992-04-15,7.1,N/A,72%,"Eliane adopts Camille, whose Vietnamese parents were friends. In 1930, a French navy officer is interested in Eliane (owns 60km2 plantation) and later in Camille. There's an uprising in Vietnam against French colonial power.","Drama, Romance, War",Won 1 Oscar. 12 wins & 13 nominations total,,,,,,$29.6 million,"['Paradis Films', 'BAC Films', 'Orly Films', 'Ciné Cinq']",,"['French', 'Vietnamese']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Urga Close to Eden,Nikita Mikhalkov,"['Rustam Ibragimbekov', 'Nikita Mikhalkov']","['Michel Seydoux', 'Jean-Louis Piel', 'René Cleitman']","['Bayaertu', 'Badema', 'Vladimir Gostyukhin']",Vilen Kalyuta,Joëlle Hache,Eduard Artemyev,Miramax,['1991'],118 minutes,Soviet Union,,118,,,,,,,,,,,,,,"['Aria', 'Caméra One', 'Centre National de la Cinématographie', 'Hachette Première', 'Ministry of Culture and Communications', 'Studio Trite', 'Union Générale Cinématographique']",,"['Mongolian', 'Russian', 'Mandarin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Daens,Stijn Coninx,"['François Chevallier', 'Stijn Coninx', 'Addy Weijers']","['Dirk Impens', 'Jean-Luc Ormières', 'Maria Peters', 'Hans Pos', 'Dave Schram']","['Jan Decleir', 'Gérard Desarthe', 'Antje de Boeck', 'Michael Pas']",Walther van den Ende,Ludo Troch,Dirk Brossé,,"['September 1992 ( Venice )', '23 February 1993 (Netherlands)']",138 minutes,,,138,1992-09-01,7.6,N/A,,"In the 1890s, Father Adolf Daens goes to Aalst, a textile town where child labor is rife, pay and working conditions are horrible, the poor have no vote, and the Catholic church backs the petite bourgeoisie in oppressing workers. He ","Biography, Drama, History",Nominated for 1 Oscar. 8 wins & 3 nominations total,,,"['Pieter Daens', 'by', 'Louis Paul Boon']",,,,,"['Belgium', 'Netherlands', 'France']","['Dutch', 'French', 'Latin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,A Place in the World,Adolfo Aristarain,"['Adolfo Aristarain', 'Alberto Lecchi', 'Kathy Saavedra']","['Adolfo Aristarain', 'Osvaldo Papaleo']","['Federico Luppi', 'Cecilia Roth', 'José Sacristán']",Ricardo DeAngelis,Eduardo López,Emilio Kauderer,Transmundo Films,"['9 April 1992 (Argentina)', '30 October 1992 (Spain)']",120 minutes,,Spanish,120,1992-04-09,N/A,N/A,,"Right outside Atlanta, Georgia is a small charter school that brings together refugee children from war-torn countries all over the world and teaches them alongside local American children....","Documentary, Drama, War",N/A,,,,,,,,"['Argentina', 'Spain', 'Uruguay']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Schtonk!,Helmut Dietl,"['Helmut Dietl', 'Ulrich Limmer']",,"['Götz George', 'Uwe Ochsenknecht', 'Christiane Hörbiger']",,,,,['1992'],115 minutes,Germany,German,115,,7.2,N/A,,"The slightly fictionalized story of an art forger, a journalist desperate for a big story, and the biggest press scandal in German history: the Hitler Diaries.",Comedy,Nominated for 1 Oscar. 7 wins & 4 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Belle Époque,Fernando Trueba,"['Rafael Azcona', 'José Luis García Sánchez', 'Fernando Trueba']",Andrés Vicente Gómez,"['Jorge Sanz', 'Penélope Cruz', 'Fernando Fernán Gómez', 'Miriam Díaz Aroca', 'Ariadna Gil', 'Maribel Verdú']",José Luis Alcaine,Carmen Frías,"['Antoine Duhamel', 'Guillermo Fernández-Shaw', 'Federico Romero']",Sony Pictures Classics,['4 December 1992'],109 minutes,Spain,Spanish,109,1992-12-04,6.2,N/A,,"Tout commence quand Lucien Lachenay (André Dussollier), célèbre constructeur du trottoir roulant de l'Exposition Universelle de 1900, sauve la vie de la belle Alice Avellano (Dame Kristin Scott Thomas), que son mari, devenu fou, tent",N/A,N/A,,,,,,$11 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Farewell My Concubine,Chen Kaige,,Hsu Feng,"['Leslie Cheung', 'Zhang Fengyi', 'Gong Li']",Gu Changwei,Pei Xiaonan,Zhao Jiping,Miramax Films (US),"['1 January 1993 (Hong Kong)', '15 October 1993 (United States)']","['171 minutes', '157 minutes (US – Theatrical release only)']",,Mandarin,171,1993-01-01,6.4,N/A,,"The famous Peking Opera artist Changrong Shang and the famous Shanghai opera ""Yi Mei school"" featuring Yihong Shi starring. Is China's first three-dimensional technology to shoot the production of Beijing Opera film.",Musical,N/A,"['Lu Wei', 'Lilian Lee']",,"['Farewell My Concubine', 'by Lilian Lee rewritten from', 'Qiuhaitang', '(秋海棠) by Qin Shouou (', 'zh:秦瘦鷗', ')']",Beijing Film Studio,,"$5,216,888 (US)",,"['China', 'Hong Kong']",,,,,,,,The Hegemon-King Bids Farewell to His Concubine,,,,,Bà Wáng Bié Jī,,,,,,,,,,,,,,,,
194,Hedd Wyn,Paul Turner,Alan Llwyd,,Huw Garmon,,,,S4C,,123 minutes,Wales,Welsh,123,,6.9,N/A,,"A young poet living in the North Wales countryside competes for the most coveted prize of all in Welsh Poetry - that of the chair of the National Eisteddfod, a tradition dating back a ...","Drama, Romance, War",Nominated for 1 Oscar. Another 8 wins & 1 nomination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,The Scent of Green Papaya,Tran Anh Hung,Tran Anh Hung,Christophe Rossignon,,Benoît Delhomme,"['Nicole Dedieu', 'Jean-Pierre Roques']",Tôn-Thât Tiêt,Président Films,"['June 8, 1993']",104 minutes,France,Vietnamese,104,1993-06-08,,,,,,,,,,,,"$1,700,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,The Wedding Banquet,Ang Lee,"['Ang Lee', 'Neil Peng', 'James Schamus']","['Ang Lee', 'Ted Hope', 'James Schamus']","['Ah-Leh Gua', 'Sihung Lung', 'May Chin', 'Winston Chao', 'Mitchell Lichtenstein']",Jong Lin,Tim Squyres,Mader,The Samuel Goldwyn Company,['4 August 1993 (United States)'],106 minutes,,,106,1993-08-04,6.2,N/A,,A DVD featurette on the background of The Wedding Banquet. Ang Lee and James Schamus are the interviewees.,"Documentary, Short",N/A,,,,Good Machine,$1 million,$23.6 million,,"['Taiwan', 'United States']","['Mandarin Chinese', 'English']",,,,,,,,,,,,Xǐyàn,,,,,,,,,,,,,,,,
197,Burnt by the Sun,Nikita Mikhalkov,"['Rustam Ibragimbekov', 'Nikita Mikhalkov']","['Leonid Vereshchagin', 'Armand Barbault', 'Nikita Mikhalkov', 'Michel Seydoux']","['Oleg Menshikov', 'Nikita Mikhalkov', 'Ingeborga Dapkūnaitė', 'Nadezhda Mikhalkova']",Vilen Kalyuta,Enzo Meniconi,Eduard Artemyev,Sony Pictures Classics,['21 May 1994 ( Cannes )'],135 minutes,,Russian,135,1994-05-21,,,,,,,,,,,$3.6 million,$2.3 million (US),,"['Russia', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Before the Rain Пред дождот,Milcho Manchevski,Milcho Manchevski,Marc Baschet,"['Katrin Cartlidge', 'Rade Serbedzija', 'Gregoire Colin']",Manuel Teran,Nicolas Gaster,Anastasia,Vardar Film,['1 September 1994 (Venice)'],113 minutes,North Macedonia,,113,1994-09-01,7.5,N/A,,"Four stories, one hot day - Sydney, Australia, just before the rain.",Drama,N/A,,,,,,,,,"['Macedonian', 'English', 'Albanian']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Eat Drink Man Woman,Ang Lee,"['Ang Lee', 'James Schamus', 'Hui-Ling Wang']","['Hsu Li-kong', 'Hsu Kong']","['Sihung Lung', 'Kuei-mei Yang', 'Chien-lien Wu', 'Yu-wen Wang', 'Winston Chao', 'Ah-Leh Gua', 'Sylvia Chang']",Jong Lin,"['Ang Lee', 'Tim Squyres']",Mader,The Samuel Goldwyn Company,"['August 3, 1994']",123 minutes,,Mandarin Chinese,123,1994-08-03,,,,,,,,,,,$1.5 million,$24 million,"['Central Motion Pictures', 'Good Machine']","['Taiwan', 'United States']",,,,,,,,"drink, eat, man, woman",,,,,yǐn shí nán nǚ,,,,,,,,,,,,,,,,
200,Farinelli,Gérard Corbiau,"['Marcel Beaulieu', 'Andrée Corbiau', 'Gérard Corbiau']",Véra Belmont,"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']",Walther van den Ende,Joëlle Hache,"['Johann Adolf Hasse', '(composer: additional music)', 'Nicola Porpora', '(composer: additional music)', 'Ewa Malas-Godlewska', '(singer)', 'Derek Lee Ragin', '(singer)']",Sony Pictures Classics ( Region 1 DVD),"['7 December 1994 (France)', '16 March 1995 (Italy)']",111 minutes,,,111,1994-12-07,6.8,N/A,58%,"The story of castrato opera singer Carlo Broschi, who enthralled 18th century European audiences under his stage name Farinelli.","Biography, Drama, Music",Nominated for 1 Oscar. 6 wins & 4 nominations total,,,,,$9 million,$11.5 million,"['Stéphan Films', 'MG', 'Italian International Film', 'K2 SA', 'Alinea Films', 'Union Generale Cinematographique', 'Canal+', 'France 2 Cinéma', 'Studio Image', 'Mediaset', 'RTL-TVI', 'Filmstiftung Nordrhein-Westfalen']","['Italy', 'Belgium', 'France']","['Italian', 'French']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Strawberry and Chocolate Fresa y chocolate,"['Tomás Gutiérrez Alea', 'Juan Carlos Tabío']","['Story:', 'Senel Paz', 'Screenplay:', 'Senel Paz']","['Camilo Vives', 'Frank Cabrera', 'Georgina Balzaretti']","['Jorge Perugorría', 'Vladimir Cruz', 'Mirta Ibarra', 'Francisco Gattorno']",,,,Miramax Films (USA),['1994'],108 minutes,,Spanish,108,,,,,,,,,,,,,,,"['Cuba', 'Mexico']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Antonia's Line,Marleen Gorris,Marleen Gorris,"['Gerard Cornelisse', 'Hans de Weers', 'Hans de Wolf', 'George Brugmans']","['Willeke van Ammelrooy', 'Els Dottermans', 'Jan Decleir', 'Marina de Graaf', 'Mil Seghers']",Willy Stassen,Wiebe van der Vliet,,Asmik Ace Entertainment,"['12 September 1995 ( TIFF )', '21 September 1995']",102 minutes,Netherlands,Dutch,102,1995-09-12,,,,,,,,,,,£1.5 million,$4.2 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,All Things Fair,Bo Widerberg,Bo Widerberg,Per Holst,"['Johan Widerberg', 'Marika Lagercrantz', 'Tomas von Brömssen', 'Karin Huldt', 'Nina Gunke', 'Kenneth Milldoff', 'Björn Kjellman', 'Frida Lindholm']",Morten Bruus,,,,['3 November 1995'],130 minutes,Sweden,Swedish,130,1995-11-03,,,,,,,,,,,25 million DKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Dust of Life,Rachid Bouchareb,"['Duyen Anh (novel)', 'Rachid Bouchareb', 'Bernard Gesbert']",Jean Bréhat,"['Daniel Guyant', 'Gilles Chitlaphone', 'Jehan Pagès', 'Éric Nguyen', 'Lina Chua', 'R. Shukor Kader']",Youcef Sahraoui,Hélène Ducret,Safy Boutella,Swift Distribution,['18 January 1995'],87 minutes,,French,87,1995-01-18,6.3,N/A,,"Based on a true story, after the US withdrawal and the fall of South Vietnam to the communist forces in 1975, many people are sent to reeducation camps. Several desperate boys in one of the camps begin planing their escape.",Drama,Nominated for 1 Oscar. Another 1 win.,,,,,,,,"['France', 'Algeria', 'Belgium', 'Germany', 'Hong Kong']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,O Quatrilho,Fábio Barreto,"['José Clemente Pozenato (novel)', 'Antônio Calmon', '(screenplay)', 'Leopoldo Serran', '(screenplay)']",,"['Patrícia Pillar', 'Glória Pires', 'Bruno Campos']",,,Caetano Veloso,,['1995'],92 minutes,Brazil,Portuguese,92,,6.7,N/A,,Two Italian-immigrant couples are part of a game that leads to treason and brings serious consequences to those who lose.,"Romance, Drama",Nominated for 1 Oscar. 5 wins & 10 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,L'uomo delle stelle (The Star Maker),Giuseppe Tornatore,"['Fabio Rinaudo', 'Giuseppe Tornatore']","['Rita Cecchi Gori', 'Vittorio Cecchi Gori']","['Sergio Castellitto', 'Tiziana Lodato']",,,Ennio Morricone,Miramax,['9 November 1995'],113 minutes,Italy,Italian,113,1995-11-09,,,,,,,,,,,,,"['Cecchi Gori Group Tiger Cinematografica', 'RAI Radiotelevisione Italiana']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Kolya,Jan Svěrák,Zdeněk Svěrák,"['Eric Abraham', 'Jan Svěrák']","['Zdeněk Svěrák', 'Andrey Khalimon', 'Libuše Šafránková']",Vladimír Smutný,Alois Fišárek,"['Ondřej Soukup', 'Bedřich Smetana']","['Space Films', 'Miramax']","['May 1996 ( Cannes )', '15 May 1996 (Czech Republic)']",105 minutes,Czech Republic,,105,1996-05-01,N/A,N/A,,"On a winter night, three teenagers test their limits by the train tracks.","Short, Drama",N/A,,,,,"['CZK 28 million', '(app. $1 million)']",$7.7 million,"['Biograf Jan Sverak', 'Pandora Cinema', 'Česká Televize', 'CinemArt', ""Fonds Eurimages du Conseil de l'Europe"", 'Centre National de la Cinématographie', 'The Czech Republic State Fund for Support and Development of Cinematography', 'Portobello Pictures', 'Space Films']",,"Czech , Slovak and Russian",,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,A Chef in Love,Nana Dzhordzhadze,"['Irakli Kvirikadze', 'André Graill']","['Temur Babluani', 'Alexander Rodnyansky', 'Thomas Bauermeister', 'Marc Ruscart']","['Pierre Richard', 'Micheline Presle', 'Nino Kirtadze']",Giorgi Beridze,"['Guili Grigoriani', 'Vessela Martschewski']",Goran Bregović,"['CTV International', 'Sony Pictures Classics']","['23 April 1997 (US)', '6 June 1996 (Georgia)']",100 minutes,Georgia,French / Georgian,100,1997-04-23,,,,,,,,,,,"17,000,000 ₣ (est.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,The Other Side of Sunday,Berit Nesheim,Berit Nesheim,,Marie Theisen,,,,,['9 February 1996'],103 minutes,Norway,Norwegian,103,1996-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Prisoner of the Mountains,Sergei Bodrov,"Boris Giller, Arif Aliyev, Sergei Bodrov",Boris Giller,"['Oleg Menshikov', 'Sergei Bodrov Jr.', 'Dzhemal Sikharulidze', 'Susanna Mekhralieva']",Pavel Lebeshev,"['Alan Baril', 'Olga Grinshpun', 'Vera Kruglova']",Leonid Desyatnikov,Orion Classics,['1996'],98 minutes,,Russian,98,,N/A,N/A,,N/A,Short,N/A,,Boris Giller,,,,,,"['Russia', 'Kazakhstan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Ridicule,Patrice Leconte,,"['Frédéric Brillion', 'Philippe Carcassonne', 'Gilles Legrand', 'Ranvijay Patwardhan']","['Charles Berling', 'Jean Rochefort', 'Fanny Ardant', 'Judith Godrèche']",Thierry Arbogast,,Antoine Duhamel,PolyGram Film Distribution,['9 May 1996'],102 minutes,France,French,102,1996-05-09,7.4,80,80%,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.","Comedy, Drama, History",Nominated for 1 Oscar. 20 wins & 17 nominations total,"['Rémi Waterhouse', 'Michel Fessler', 'Eric Vicaut']",,,,$8.3 million,$20 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Character,Mike van Diem,Mike van Diem,Laurens Geels,"['Jan Decleir', 'Fedja van Huêt', 'Betty Schuurman', 'Tamar van den Dop', 'Victor Löw', 'Hans Kesting']",Rogier Stoffers,Jessica de Koning,Paleis van Boem,,['17 April 1997'],122 minutes,,Dutch,122,1997-04-17,7.5,N/A,,"A kind man aspires to become a comic creator, but villains and evil deeds do not come easily to him, for he has little experience or natural inclination for them. Things take a surprise turn when he comes across a family who were des","Crime, Horror, Thriller",N/A,,,"['Karakter', 'by', 'Ferdinand Bordewijk']",,$4.5 million,"$713,413",,"['Netherlands', 'Belgium']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Jenseits der Stille,Caroline Link,"['Caroline Link', 'Beth Serlin']","['Jakob Claussen', 'Thomas Wöbke', 'Luggi Waldleitner']","['Sylvie Testud', 'Howie Seago', 'Emmanuelle Laborit', 'Sibylle Canonica', 'Matthias Habich', 'Hansa Czypionka', 'Tatjana Trieb']",Gernot Roll,Patricia Rommel,Niki Reiser,,['19 December 1996'],112 minutes,Germany,,112,1996-12-19,7.5,N/A,83%,Since the earliest days in her childhood Lara has had a difficult but important task. Both her parents are deaf-mute and Lara has to translate from sign-language to the spoken word and vice versa when her parents want to communicate ,"Drama, Music",Nominated for 1 Oscar. 12 wins & 7 nominations total,,,,,,$11.5 million,,,"['German', 'German Sign Language']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Four Days in September,Bruno Barreto,Leopoldo Serran,"['Lucy Barreto', 'Luiz Carlos Barreto']","['Alan Arkin', 'Pedro Cardoso', 'Fernanda Torres', 'Cláudia Abreu', 'Luiz Fernando Guimarães', 'Caroline Kava', 'Fisher Stevens']",Félix Monti,Isabelle Rathery,Stewart Copeland,"['RioFilme', 'Miramax']",['19 April 1997'],110 minutes,Brazil,Portuguese,110,1997-04-19,,,,,,,,,"['O Que É Isso, Companheiro?', 'by', 'Fernando Gabeira']",,,R$1.8 million,"['Filmes do Equador', 'Luiz Carlos Barreto Produções Cinematográficas']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Secrets of the Heart,Montxo Armendáriz,Montxo Armendáriz,Imanol Uribe and Andrés Santana,"['Carmelo Gómez', 'Charo López', 'Sílvia Munt', 'Vicky Peña', 'Andoni Erburu', 'Álvaro Nagore', 'Chete Lera']",,,Bingen Mendizábal,"['Aiete Films', 'Ariane Films']",['14 March 1997'],105 minutes,Spain,Spanish,105,1997-03-14,N/A,N/A,,N/A,"Documentary, Short",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,The Thief,Pavel Chukhray,Pavel Chukhray,"['Igor Bortnikov', 'Sergei Kozlov', 'Igor Tolstunov']","['Vladimir Mashkov', 'Yekaterina Rednikova', 'Misha Philipchuk']",Vladimir Klimov,"['Marina Dobryanskaya', 'Natalya Kucherenko']",Vladimir Dashkevich,,['1997'],96 minutes,Russia,Russian,96,,6.7,N/A,80%,"A chance accident causes a nuclear physicist, who's selling top secret material to the Russians, to fall under FBI scrutiny and go on the run.","Crime, Drama, Film-Noir",Nominated for 1 Oscar. 1 win & 7 nominations total,,,,,$2 million,$1.1 million (US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Life Is Beautiful,Roberto Benigni,"['Roberto Benigni', 'Vincenzo Cerami']","['Gianluigi Braschi', 'Elda Ferri']","['Roberto Benigni', 'Nicoletta Braschi']",Tonino Delli Colli,Simona Paggi,Nicola Piovani,"['Cecchi Gori Group', '(Italy)', 'Miramax Films', '(USA/International)']",['20 December 1997 (Italy)'],116 minutes,Italy,Italian,116,1997-12-20,6.4,N/A,,"It is a coming of age story of six youngsters, set in the beautiful nostalgic world of a working-middle class neighborhood. The film tracks their journey through the different seasons, festivals, romances, street cricket, colony figh","Drama, Romance",1 win & 2 nominations,,,,Melampo Cinematografica,$20 million,$230.1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Central Station,Walter Salles,,"['Arthur Cohn', 'Martine de Clermont-Tonnerre', 'Robert Redford']","['Fernanda Montenegro', 'Vinícius de Oliveira', 'Marília Pêra']",Walter Carvalho,Felipe Lacerda,"['Antonio Pinto', 'Jaques Morelenbaum', 'Stewart Copeland']",Europa Filmes,"['16 January 1998 (Switzerland)', '3 April 1998 (Brazil)']",113 minutes,,Portuguese,113,1998-01-16,N/A,N/A,,A short film about how two strangers meet by coincidence in a world where everyone's eyes are fixed on screens.,"Short, Romance",N/A,"['João Emanuel Carneiro', 'Marcos Bernstein']",Walter Salles,,,$2.9 million,$22 million,,"['Brazil', 'France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Children of Heaven,Majid Majidi,Majid Majidi,"['Amir Esfandiari', 'Mohammad Esfandiari']","['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",Parviz Malekzaade,Hassan Hassandoost,Keivan Jahanshahi,Miramax Films,['February 1997 ( Fajr Film Festival )'],89 minutes,Iran,Persian,89,1997-02-01,N/A,N/A,,N/A,"Short, Drama, Family",N/A,,,,The Institute for the Intellectual Development of Children & Young Adults,"US $180,000",US$1.6 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,El abuelo,José Luis Garci,"['José Luis Garci', 'Horacio Valcárcel']",José Luis Garci,"['Fernando Fernán-Gómez', 'Rafael Alonso', 'Cayetana Guillén Cuervo', 'Agustín González']",Raúl Pérez Cubero,Miguel González Sinde,Manuel Balboa,Columbia TriStar Films de España,['30 October 1998'],151 minutes,Spain,Spanish,151,1998-10-30,7.4,57,53%,"After his son dies, an elderly man comes back to Spain from the US and hopes to find out which of his granddaughters is true and which one is bastard.",Drama,Nominated for 1 Oscar. 9 wins & 18 nominations total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Tango,Carlos Saura,,"['Carlos Mentasti', 'Luis A. Scalella']","['Miguel Ángel Solá', 'Mía Maestro', 'Juan Luis Galiardo']",Vittorio Storaro,Julia Juaniz,Lalo Schifrin,"['Líder Films', 'Warner Bros.', 'Sony Pictures Classics']","['6 August 1998 (Argentina)', '25 September 1998 (Spain)']",115 minutes,,Spanish,115,1998-08-06,7.1,N/A,68%,"Mario Suarez is a forty-something tango artist, whose wife Laura has left him. He leaves his apartment and starts preparing a film about tango.","Drama, Musical",Nominated for 1 Oscar. 8 wins & 11 nominations total,Carlos Saura,,,,$4 685 408 USD,"['$1,687,311', '(United States)']","['Adela Pictures', 'Alma Ata International Pictures', 'Argentina Sono Film', 'Astrolabio Producciones']","['Argentina', 'Spain']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,All About My Mother,Pedro Almodóvar,Pedro Almodóvar,Agustín Almodóvar,"['Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan', 'Penélope Cruz', 'Rosa Maria Sardà', 'Fernando Fernán Gómez', 'Fernando Guillén', 'Toni Cantó', 'Eloy Azorín', 'Carlos Lozano']",Affonso Beato,José Salcedo,Alberto Iglesias,"['Warner Sogefilms (Spain)', 'Pathé (France)']","['16 April 1999 (Spain)', '19 May 1999 (France)']","['104 minutes', '101 minutes (US cut)']",,,104,1999-04-16,,,,,,,,,,,"P 600 million ($4,989,091)",$67.8 million,"['El Deseo', 'Renn Productions', 'France 2 Cinéma', 'Via Digital']","['Spain', 'France']","['Spanish', 'Catalan', 'English']",,,,,,,,,Todo sobre mi madre,,,,,,,,,,,,,,,,,,,
223,East/West,Régis Wargnier,"['Rustam Ibragimbekov', 'Sergei Bodrov', 'Louis Gardel', 'Régis Wargnier']","['Yves Marmion', 'Alexander Rodnyansky']","['Sandrine Bonnaire', 'Oleg Menshikov', 'Catherine Deneuve', 'Sergei Bodrov Jr.', 'Grigori Manoukov', 'Tatyana Dogileva', 'Bohdan Stupka', 'Hubert Saint-Macary', 'Atanass Atanassov']",Laurent Dailland,Hervé Schneid,Patrick Doyle,"['UGC Fox Distribution (France)', 'Alta Films (Spain)']","['4 August 1999 ( Locarno Film Festival )', '1 September 1999 (France)', '25 February 2000 (Spain)', '7 April 2000 (Russia)']",124 minutes,,,124,1999-08-04,6.3,N/A,,"Both in 2006 and 2007, the Gay Pride Parade attempts in Moscow are violently beaten down. For many observers, the attitude towards the sexual minorities seems to be the litmus test of the state of democracy in Russia. In January 2007",Documentary,2 nominations,,,,,$9.1 million,$9.4 million,"['UGC YM', 'Mate Producciones', 'NTV-Profit', 'France 3 Cinéma']","['Bulgaria', 'France', 'Russia', 'Spain']","['French', 'Russian']",,,,,Est-Ouest,,,,,,,,,,,,,,,,,,,,,,,
224,Himalaya,Éric Valli,"['Jean-Claude Guillebaud', 'Éric Valli', 'Louis Gardel']","['Christophe Barratier', 'Jacques Perrin']","['Tsering Dorjee', 'Thinle Lhondup', 'Gurgon Kyap', 'Lhakpa Tsamchoe']",,,Bruno Coulais,Kino International,['13 September 1999 (U.S.)'],108 minutes,Nepal,,108,1999-09-13,6.5,N/A,43%,"Based on true events, renowned mountaineer UM Hong-gil sets out on a mission to Everest to retrieve his late junior climber's body and faces the greatest challenge of his life.","Adventure, Biography, Drama",4 wins & 6 nominations,,,,,$4.4 million,$40.1 million,,,"Dolpo , Nepali , German",,,,,,,,,,,,,,,,,,,,,,,,,,,,
